,disYear,disMonth,disDay,disDayCount,cityCode,citySidoName,citySggName,aptCode,aptName,disQuantity,dayAverQuantity,disCount,dayAverCount
2,2020,06,3,5,W01,서울특별시,종로구,W01020,경희궁의아침3단지,674100,134820,198,39
3,2020,06,4,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,563650,140912,167,41
4,2020,06,5,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,523150,130787,161,40
5,2020,06,6,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,545700,136425,169,42
6,2020,06,7,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,287750,71937,124,31
0,2020,06,1,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,391200,97800,229,57
1,2020,06,2,5,W01,서울특별시,종로구,W01021,인왕산2차아이파크,485200,97040,276,55
2,2020,06,3,5,W01,서울특별시,종로구,W01021,인왕산2차아이파크,539500,107900,370,74
3,2020,06,4,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,246000,61500,174,43
4,2020,06,5,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,319350,79837,181,45
5,2020,06,6,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,324850,81212,206,51
6,2020,06,7,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,294100,73525,178,44
0,2020,06,1,4,W01,서울특별시,종로구,W01022,동익빌라,379750,94937,181,45
1,2020,06,2,5,W01,서울특별시,종로구,W01022,동익빌라,270000,54000,165,33
2,2020,06,3,5,W01,서울특별시,종로구,W01022,동익빌라,367650,73530,181,36
3,2020,06,4,4,W01,서울특별시,종로구,W01022,동익빌라,215800,53950,135,33
4,2020,06,5,4,W01,서울특별시,종로구,W01022,동익빌라,290200,72550,152,38
5,2020,06,6,4,W01,서울특별시,종로구,W01022,동익빌라,201850,50462,125,31
6,2020,06,7,4,W01,서울특별시,종로구,W01022,동익빌라,311950,77987,168,42
0,2020,06,1,4,W01,서울특별시,종로구,W01023,롯데빌라,75850,18962,49,12
1,2020,06,2,5,W01,서울특별시,종로구,W01023,롯데빌라,89900,17980,65,13
2,2020,06,3,5,W01,서울특별시,종로구,W01023,롯데빌라,73650,14730,56,11
3,2020,06,4,4,W01,서울특별시,종로구,W01023,롯데빌라,42850,10712,33,8
4,2020,06,5,4,W01,서울특별시,종로구,W01023,롯데빌라,51850,12962,52,13
5,2020,06,6,4,W01,서울특별시,종로구,W01023,롯데빌라,57550,14387,43,10
6,2020,06,7,4,W01,서울특별시,종로구,W01023,롯데빌라,56250,14062,44,11
